source,red_found,red_x_px,red_y_px,red_u,red_v,red_area_px,red_bbox,red_ambiguous,red_quality,red_error,yellow_found,yellow_x_px,yellow_y_px,yellow_u,yellow_v,yellow_area_px,yellow_bbox,yellow_ambiguous,yellow_quality,yellow_error
0,True,202.58,165.20,0.316529,0.344168,8520,146:110:112:106,False,clean,,True,179.26,373.99,0.280093,0.779146,12124,112:316:131:112,False,clean,
1,True,267.98,242.46,0.418723,0.505117,9471,214:184:106:114,False,clean,,True,263.46,393.20,0.411653,0.819156,11828,200:336:125:112,False,clean,
2,True,123.17,146.68,0.192455,0.305581,10204,60:82:122:126,False,clean,,True,96.06,319.90,0.150095,0.666448,17593,4:250:189:136,False,clean,
3,True,151.39,206.45,0.236548,0.430113,10698,88:142:122:128,False,clean,,True,132.79,386.84,0.207483,0.805922,19979,26:320:220:126,False,clean,
4,True,245.14,159.55,0.383029,0.332387,9670,192:98:104:120,False,clean,,True,264.16,345.47,0.412742,0.719729,18281,178:280:182:160,False,clean,
5,True,278.54,170.42,0.435222,0.355041,8970,226:110:108:118,False,clean,,True,298.92,334.48,0.467063,0.696835,19766,208:262:202:142,False,clean,
6,True,254.08,185.72,0.396999,0.386915,9141,200:126:104:116,False,clean,,True,273.48,372.63,0.427306,0.776316,20661,182:301:197:171,False,clean,
7,True,255.63,200.99,0.399426,0.418725,9755,192:140:124:122,False,clean,,True,227.21,410.42,0.355022,0.855044,21227,122:336:214:144,False,clean,
8,True,289.17,210.92,0.451836,0.439410,11511,230:144:114:132,False,clean,,True,324.35,378.74,0.506794,0.789047,30094,216:278:226:202,False,clean,
9,True,282.10,198.82,0.440778,0.414204,10956,222:132:114:130,False,clean,,True,282.54,399.63,0.441464,0.832571,22331,184:328:204:152,False,clean,
10,True,275.84,184.54,0.431005,0.384456,10746,216:120:118:128,False,clean,,True,282.87,386.93,0.441992,0.806104,25239,182:298:210:182,False,clean,
11,True,240.60,168.79,0.375940,0.351640,10777,184:102:110:128,False,clean,,True,258.73,331.05,0.404269,0.689679,19524,168:262:196:140,False,clean,
12,True,274.68,173.62,0.429187,0.361708,8081,211:106:107:126,False,clean,,True,194.80,138.41,0.304371,0.288357,11326,134:70:120:136,False,clean,
