source,red_found,red_x_px,red_y_px,red_u,red_v,red_area_px,red_bbox,red_ambiguous,red_quality,red_error,yellow_found,yellow_x_px,yellow_y_px,yellow_u,yellow_v,yellow_area_px,yellow_bbox,yellow_ambiguous,yellow_quality,yellow_error
0,True,25.12,213.05,0.039248,0.443863,3804,0:166:64:92,False,clean,,True,126.79,281.62,0.198113,0.586716,13688,52:214:148:130,False,clean,
1,True,234.21,446.61,0.365959,0.930442,7987,168:400:136:80,False,clean,,True,302.94,247.11,0.473352,0.514803,11284,242:183:120:125,False,clean,
2,True,34.70,233.01,0.054222,0.485434,4567,0:190:76:86,False,clean,,True,49.97,467.65,0.078080,0.974271,729,34:448:36:32,False,clean,
3,True,267.98,221.03,0.418726,0.460483,9175,217:161:105:117,False,clean,,True,250.37,378.29,0.391198,0.788097,11388,193:316:119:120,False,clean,
4,True,276.72,403.94,0.432379,0.841534,7492,228:350:97:106,False,clean,,True,349.25,228.35,0.545701,0.475722,12371,278:162:134:136,False,clean,
5,True,330.49,210.50,0.516392,0.438549,13064,266:140:126:136,False,clean,,True,271.48,399.54,0.424195,0.832376,12858,206:332:130:130,False,clean,
6,True,321.96,211.92,0.503067,0.441496,13043,260:142:126:135,False,clean,,True,270.90,474.22,0.423289,0.987963,1333,206:466:130:14,False,clean,
7,True,338.00,205.10,0.528129,0.427287,12879,273:138:127:132,False,clean,,True,342.80,466.56,0.535622,0.972005,1024,310:452:64:28,False,clean,
8,True,325.00,210.12,0.507805,0.437751,12647,261:144:125:128,False,clean,,True,316.50,432.42,0.494534,0.900867,7698,252:362:115:118,False,clean,
9,True,318.64,191.93,0.497881,0.399861,12206,258:126:122:126,False,clean,,True,320.64,460.31,0.501005,0.958971,3263,277:440:90:40,False,clean,
10,True,290.73,442.31,0.454264,0.921481,9759,224:402:135:78,False,clean,,True,309.19,240.17,0.483115,0.500346,8637,242:172:117:126,False,clean,
11,True,288.52,450.37,0.450808,0.938272,7780,222:420:134:60,True,ambiguous,,True,295.27,244.09,0.461363,0.508513,8401,229:178:115:122,False,clean,
12,True,144.88,276.97,0.226376,0.577028,3616,100:238:78:78,True,ambiguous,,True,348.86,274.29,0.545090,0.571442,14947,276:198:154:142,False,clean,
13,True,173.02,190.02,0.270351,0.395885,3871,118:152:96:80,True,ambiguous,,True,311.22,226.31,0.486287,0.471469,10404,248:160:130:128,False,clean,
14,True,190.63,221.78,0.297859,0.462048,3139,148:182:76:78,False,clean,,True,412.68,321.65,0.644812,0.670110,11980,320:242:148:144,False,clean,
15,True,91.67,253.31,0.143239,0.527723,5300,30:218:106:78,False,clean,,True,304.28,257.43,0.475432,0.536304,14569,236:188:143:132,False,clean,
16,True,156.99,234.87,0.245295,0.489312,3642,114:196:79:78,False,clean,,True,320.68,289.57,0.501055,0.603274,10588,250:234:142:124,False,clean,
17,True,237.51,169.07,0.371104,0.352229,5581,190:128:96:84,True,ambiguous,,True,258.28,298.93,0.403567,0.622772,9709,202:244:111:104,False,clean,
18,True,250.04,315.43,0.390691,0.657143,8576,200:258:105:112,False,clean,,True,292.81,165.50,0.457523,0.344789,5596,243:108:93:105,False,clean,
19,True,118.44,185.33,0.185062,0.386101,20154,0:102:242:203,False,implausible_size,,True,296.23,355.19,0.462866,0.739976,13009,234:290:128:125,False,clean,
20,True,301.79,160.52,0.471541,0.334413,7259,254:106:110:104,True,ambiguous,,True,315.63,318.14,0.493173,0.662798,12709,244:260:143:120,False,clean,
21,True,246.67,302.05,0.385416,0.629280,7244,196:256:104:92,True,ambiguous,,True,347.70,246.30,0.543281,0.513135,13636,280:170:142:149,False,clean,
22,True,309.40,162.71,0.483430,0.338969,7067,256:110:116:102,False,clean,,True,325.58,309.51,0.508718,0.644807,12293,258:232:146:138,False,clean,
23,True,133.47,321.49,0.208550,0.669778,62139,0:98:308:382,False,implausible_size,,True,325.96,250.06,0.509319,0.520954,11845,258:182:143:138,False,clean,
24,True,247.60,439.47,0.386877,0.915556,8266,184:397:124:83,False,clean,,True,264.89,248.58,0.413889,0.517873,8731,212:192:105:112,False,clean,
25,True,268.02,465.08,0.418780,0.968922,3604,200:446:129:34,True,ambiguous,,True,316.68,291.29,0.494813,0.606860,13634,250:224:133:130,False,clean,
26,True,267.22,317.55,0.417534,0.661558,11070,208:263:118:105,False,clean,,False,,,,,,,,missing,No yellow component of at least 500 pixels was found
27,True,268.49,309.91,0.419510,0.645638,11116,204:254:126:106,False,clean,,True,171.06,344.18,0.267282,0.717035,2157,152:302:41:82,True,ambiguous,
28,True,273.18,297.93,0.426851,0.620687,10792,214:244:118:104,False,clean,,True,272.80,461.59,0.426249,0.961654,4381,204:440:129:40,False,clean,
29,True,332.36,334.35,0.519309,0.696554,7310,284:278:92:110,False,clean,,True,233.03,331.33,0.364116,0.690277,13607,162:266:140:124,False,clean,
